"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo"
"Algarrobo, Tak'o","Algarrobo",-17.519911479064927,"FjuIkkCCBGWfkM5E1tBE","vivero","Prosopis alba Griseb.","vivo",-65.95834404230118,"[]","pMiULn054Vv1v23oSKzA",6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230419_135906_3962374945296246177.jpg?alt=media&token=310e167d-7bd5-4d0e-aa5e-1fbebd1dc89f","2023-04-19 13:59:52","Sano, vigoroso","2023-04-19T17:59:52.000Z"
"Molle","Molle",-17.51989741123173,"6jqUZdPTywOqQCRYBCkP","vivero","Schinus molle","vivo",-65.95845133066177,"[]","Dy0u4hvJHHTrMHV35wBI",6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230419_140044_2359238993103815717.jpg?alt=media&token=ced52c8b-426b-42fc-95d7-c68a1e0ae318","2023-04-19 14:02:09","Sano, vigoroso","2023-04-19T18:02:09.000Z"
"Molle","Molle",-17.519813004209695,"ok9ZHzuPT1xkdvEKFuh0","vivero","Schinus molle","vivo",-65.95859248191118,"[]","7AuCQIDk4PHgiReFxCpd",7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230419_140720_4407742330911885255.jpg?alt=media&token=d332a3e7-1ac4-47c7-b097-aa1ff1871fcd","2023-04-19 14:07:49","Sano, vigoroso","2023-04-19T18:07:49.000Z"
"Molle","Molle",-17.519904764871946,"cFNr6hYg81YYLy7xZNFl","vivero","Schinus molle","vivo",-65.95856130123138,"[]","KrvIHHeY9OR1zwBc83ot",7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230419_140801_4207467915113217746.jpg?alt=media&token=51fd2ed0-c915-46a7-9bd7-b8091e58821c","2023-04-19 14:08:53","Sano, vigoroso","2023-04-19T18:08:53.000Z"
"Carnavalito","Carnavalito",-17.519820997300585,"id11wKUZUXc761yOoB5g","vivero ","Senna spectabilis (DC.) H.S. Irwin & Barneby.","vivo",-65.95850095152855,"[{""id"":""sr2yVVKhzS5BDom8ZRGt"",""timestamp"":{""seconds"":1681927878,""nanoseconds"":941000000}}]","Vk4OiXw7nQLgCOINE32G",7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230419_140941_6191360423829718284.jpg?alt=media&token=cecf640c-1ee5-4494-8073-96ba02cf09f5","2023-04-19 14:10:57","Sano, vigoroso","2023-04-19T18:10:57.000Z"
"molle","molle",-17.40738069927148,"pLloXhucskxxzaFh2piQ","Área verde","...","vivo",-66.19020223617554,"[]","xRBzn2ovw2Nee33zuNhx",170,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230424_180505_1000192069.jpg?alt=media&token=27ec5aaf-b077-47e0-b8e5-06618a62b108","2023-04-24 18:06:16","Sano, vigoroso","2023-04-24T22:06:16.000Z"
"paraiso","paraiso",-17.407393496114363,"4sYYfOJi2miwfltIKOWa","Área verde","...","vivo",-66.19018748402596,"[]","U6ZsmDyaUbpPC3qsPKAL",210,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230424_180644_1000192068.jpg?alt=media&token=96d8507b-0f3e-4fe3-a50f-86fe5328df14","2023-04-24 18:08:08","Sano, vigoroso","2023-04-24T22:08:08.000Z"
"molle","molle",-17.407405333193235,"05aaNKjcOSjzSxYXOgJ6","Área verde","...","vivo",-66.19017407298088,"[]","YBZjI282ev90ZQK747lG",170,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230424_180846_1000192060.jpg?alt=media&token=083aea84-3a2d-4f04-8802-e428540b9e58","2023-04-24 18:09:25","Sano, vigoroso","2023-04-24T22:09:25.000Z"
"fresno","fresno",-17.407425808138672,"6CHkJl4YXhUbSoNSh9GE","Área verde","...","vivo",-66.19015529751778,"[]","4frs6vfxi411yNt0TaEb",30,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230424_181051_1000192059.jpg?alt=media&token=549db436-9dc8-4d09-8e78-38e72777963f","2023-04-24 18:11:48","Sano, vigoroso","2023-04-24T22:11:48.000Z"
"fresno","fresno",-17.407440524504285,"6JEUgh3D1XetG29Fyp6j","Área verde","...","vivo",-66.1901368573308,"[]","XSKz3G8Rvic2tCFSTvE5",100,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230424_181257_1000192058.jpg?alt=media&token=8645993d-5285-476a-b936-a0b3f57fb60a","2023-04-24 18:13:34","Sano, vigoroso","2023-04-24T22:13:34.000Z"
