"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo","id_riegos_0","timestamp_riegos_0","id_riegos_1","timestamp_riegos_1","id_riegos_2","timestamp_riegos_2","id_riegos_3","timestamp_riegos_3","id_riegos_4","timestamp_riegos_4","id_riegos_5","timestamp_riegos_5","id_riegos_6","timestamp_riegos_6","id_riegos_7","timestamp_riegos_7","id_riegos_8","timestamp_riegos_8","id_riegos_9","timestamp_riegos_9","id_riegos_10","timestamp_riegos_10","id_riegos_11","timestamp_riegos_11","id_riegos_12","timestamp_riegos_12","id_riegos_13","timestamp_riegos_13"
"Lalo","Laurel",-17.442809801953004,"BGplWw3G0wewduhJbU32","Acera","Cordia sebestena","vivo",-66.15427237004042,"[{""id"":""8QdgokLnw1czMVaGky64"",""timestamp"":{""seconds"":1659361411,""nanoseconds"":421000000}},{""id"":""RQwZx1yvDNBoaectz4Jd"",""timestamp"":{""seconds"":1659536357,""nanoseconds"":750000000}},{""id"":""y2spx8Dz3ZstbPqIWjxy"",""timestamp"":{""seconds"":1662861409,""nanoseconds"":561000000}},{""id"":""O0XY49WRzNbmVMid04R5"",""timestamp"":{""seconds"":1663198133,""nanoseconds"":214000000}},{""id"":""8BR6DUReJWlCSBzt5Nsk"",""timestamp"":{""seconds"":1665012774,""nanoseconds"":963000000}},{""id"":""axhb3KhBxtQnGtNgtGer"",""timestamp"":{""seconds"":1666461411,""nanoseconds"":71000000}},{""id"":""7Z9E69YtnNIOwTgwl2Ku"",""timestamp"":{""seconds"":1667354414,""nanoseconds"":413000000}},{""id"":""JRkAfNVDfTxP6Fxn0UVW"",""timestamp"":{""seconds"":1667911748,""nanoseconds"":117000000}},{""id"":""mscuPsugTpoeMutmCGER"",""timestamp"":{""seconds"":1670671641,""nanoseconds"":361000000}},{""id"":""uEf7G6RylGTFqLGclwzt"",""timestamp"":{""seconds"":1671059129,""nanoseconds"":974000000}},{""id"":""jIwKLlTyxaqSB2BmwryE"",""timestamp"":{""seconds"":1671585524,""nanoseconds"":362000000}}]","CLDsOzgCUzzEeTFy0VOm",1.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220731_162508_45614.jpg?alt=media&token=93ff0563-9797-4488-b61a-ae64b040f860","2022-08-01 09:19:17","Sano, vigoroso","2022-08-01T13:19:17.000Z","8QdgokLnw1czMVaGky64","{""seconds"":1659361411,""nanoseconds"":421000000}","RQwZx1yvDNBoaectz4Jd","{""seconds"":1659536357,""nanoseconds"":750000000}","y2spx8Dz3ZstbPqIWjxy","{""seconds"":1662861409,""nanoseconds"":561000000}","O0XY49WRzNbmVMid04R5","{""seconds"":1663198133,""nanoseconds"":214000000}","8BR6DUReJWlCSBzt5Nsk","{""seconds"":1665012774,""nanoseconds"":963000000}","axhb3KhBxtQnGtNgtGer","{""seconds"":1666461411,""nanoseconds"":71000000}","7Z9E69YtnNIOwTgwl2Ku","{""seconds"":1667354414,""nanoseconds"":413000000}","JRkAfNVDfTxP6Fxn0UVW","{""seconds"":1667911748,""nanoseconds"":117000000}","mscuPsugTpoeMutmCGER","{""seconds"":1670671641,""nanoseconds"":361000000}","uEf7G6RylGTFqLGclwzt","{""seconds"":1671059129,""nanoseconds"":974000000}","jIwKLlTyxaqSB2BmwryE","{""seconds"":1671585524,""nanoseconds"":362000000}",,,,,,
"molle","molle",-17.583612859165534,"uzempaFeHhmQYBDUu9EU","Área verde","molle","vivo",-66.00724138319492,"[{""id"":""OGNyTqoYolWE9SqP7crU"",""timestamp"":{""seconds"":1660481023,""nanoseconds"":996000000}},{""id"":""Hsj9eW5FItHC68gdpU0F"",""timestamp"":{""seconds"":1668344730,""nanoseconds"":132000000}}]","mPjwNqDj0qcCAEuRoaAw",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220814_084206_12162.jpg?alt=media&token=7a7f0b4f-51cc-4f6d-8a99-d6790389a78b","2022-08-14 08:43:43","Sano, vigoroso","2022-08-14T12:43:43.000Z","OGNyTqoYolWE9SqP7crU","{""seconds"":1660481023,""nanoseconds"":996000000}","Hsj9eW5FItHC68gdpU0F","{""seconds"":1668344730,""nanoseconds"":132000000}",,,,,,,,,,,,,,,,,,,,,,,,
"Arb 1","Tulipam",-17.52405696622007,"PfudxE2aN93MUhSPwUaE","Colegio ","Markhamia stipulata ","vivo",-65.965629927814,"[{""id"":""JKPejy91sFzDuZf5pcDn"",""timestamp"":{""seconds"":1660744029,""nanoseconds"":229000000}}]","rgDdF4SA8WpvqfJHu4k6",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094204_2071323206025595265.jpg?alt=media&token=3ee6aa7b-7105-4823-9e68-da4caf1901f1","2022-08-17 09:47:09","Estrés hidrico ","2022-08-17T13:47:09.000Z","JKPejy91sFzDuZf5pcDn","{""seconds"":1660744029,""nanoseconds"":229000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 2","Tulipam",-17.524190287812218,"4ExVarBARxEj1C6ssGCJ","Colegio ","Markhamia stipulata","vivo",-65.9656010940671,"[{""id"":""wHcw0WoucCJldnCmO9NQ"",""timestamp"":{""seconds"":1660744162,""nanoseconds"":182000000}}]","pFmO9A4uH0sETxKllgi3",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094820_2869757748486696043.jpg?alt=media&token=a581bbee-64b2-48b1-bf86-8698a3fae023","2022-08-17 09:49:22","Estrés hídrico ","2022-08-17T13:49:22.000Z","wHcw0WoucCJldnCmO9NQ","{""seconds"":1660744162,""nanoseconds"":182000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 3","Tulipan ",-17.52432904447316,"0qDOcGwFaUxUcx9ZoRyu","Colegio ","Markhamia stipulata","vivo",-65.96557728946209,"[{""id"":""KptJaFVkpGGC7IPr6T2r"",""timestamp"":{""seconds"":1660744238,""nanoseconds"":177000000}}]","hj8ozAjYGZzJc4FiJwee",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094952_2627954558632415292.jpg?alt=media&token=4e801e27-d77e-4808-8aec-d67bc29b4ffc","2022-08-17 09:50:38","Estrés hídrico ","2022-08-17T13:50:38.000Z","KptJaFVkpGGC7IPr6T2r","{""seconds"":1660744238,""nanoseconds"":177000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 4","Tulipan ",-17.52444478151472,"v4HHTnSolPHnwmZBMVlb","Colegio ","Markhamia stipulata","vivo",-65.96557963639498,"[{""id"":""2zQEhghymsFyytecu843"",""timestamp"":{""seconds"":1660744367,""nanoseconds"":30000000}}]","uOyvkUNJ8pDqTG9733Ed",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095104_3184925922661409376.jpg?alt=media&token=5a7e135c-e27f-4aa4-8a47-48b781bd4f28","2022-08-17 09:52:47","Estrés hidrico ","2022-08-17T13:52:47.000Z","2zQEhghymsFyytecu843","{""seconds"":1660744367,""nanoseconds"":30000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 5","Tulipan",-17.52455923962135,"ZeairbbjHNPGH28vdHZp","Colegio ","Markhamia stipulata","vivo",-65.96558634191751,"[{""id"":""ofbQjNvTKC75gktWTkBF"",""timestamp"":{""seconds"":1660744440,""nanoseconds"":518000000}}]","JV3PbkdxgrnPU11GDoDu",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095255_6960428110656997953.jpg?alt=media&token=2a0e19ea-f17b-40d2-974f-3f200630c110","2022-08-17 09:54:00","Estrés hidrico","2022-08-17T13:54:00.000Z","ofbQjNvTKC75gktWTkBF","{""seconds"":1660744440,""nanoseconds"":518000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 6","tulipán",-17.524786876758455,"hXgIcgWrFPweW4ydHXns","colegio","Markhamia stipulata","vivo",-65.96555314958096,"[{""id"":""W3fI95HyzlQerQ3z6Usj"",""timestamp"":{""seconds"":1660744587,""nanoseconds"":100000000}}]","i6bqPTtn8GNLaSSR5Qtt",0.9,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095534_1737462122322963279.jpg?alt=media&token=f511991d-617d-4818-80c8-070ee3a189ce","2022-08-17 09:56:27","estrés hídrico","2022-08-17T13:56:27.000Z","W3fI95HyzlQerQ3z6Usj","{""seconds"":1660744587,""nanoseconds"":100000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 7","tulipán",-17.52480637936506,"FEGJM9mBkSNBokFRYIiX","colegio","Markhamia stipulata","vivo",-65.96584517508745,"[{""id"":""FbHcT4MZTMt6OhDmdgbo"",""timestamp"":{""seconds"":1660744666,""nanoseconds"":502000000}}]","ZMJh1RkUR8ip6qR6IVks",0.65,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095653_1197154009432179204.jpg?alt=media&token=e96b8589-1cc4-4175-89ff-3238c6a8d8d0","2022-08-17 09:57:46","estrés hídrico","2022-08-17T13:57:46.000Z","FbHcT4MZTMt6OhDmdgbo","{""seconds"":1660744666,""nanoseconds"":502000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 7","tulipán",-17.52479550906001,"cBCOegDgHPZhbUFJlNtW","Mira es tu colegio","Markhamia stipulata","vivo",-65.96601851284504,"[{""id"":""3UC58mvjuFgUyWyTQrqU"",""timestamp"":{""seconds"":1660744811,""nanoseconds"":698000000}}]","nDWJpBNHmcrz6E7gI0Ft",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095757_415409257270296602.jpg?alt=media&token=41455462-d24a-42b7-92fa-404876e25530","2022-08-17 10:00:11","estrés hídrico","2022-08-17T14:00:11.000Z","3UC58mvjuFgUyWyTQrqU","{""seconds"":1660744811,""nanoseconds"":698000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
