"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo"
"wm589","Chillijchi",-17.413239640061168,"NarHIXjB4oUm9NOiPza6","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.03531908243895,"[]","z06aiZfIat6uU1yBgn9w",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_143658_8607054448809814432.jpg?alt=media&token=f25c3a74-f1c4-4f6f-9430-aa2c9bcc0d09","2023-02-02 14:39:01","Sano, vigoroso","2023-02-02T18:39:01.000Z"
"wm590","Chacatea",-17.413235161309554,"zWdhxCD426fLBCZUWpcU","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03528186678886,"[]","L12rbAwZFkhFH0K2eluM",0.55,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144032_2990295072820625409.jpg?alt=media&token=a0e9e316-ab59-4a55-9867-6ebb0c7cc310","2023-02-02 14:41:20","Sano, vigoroso","2023-02-02T18:41:20.000Z"
"wm591","Algarrobo",-17.413231642290373,"QPJv4Y21NBtKHBdnIwKH","Corredor biológico urbano","Prosopis alba Griseb.","vivo",-66.0352436453104,"[]","W3xWbXkkv10EgXZrsVs4",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144206_7682258841947928315.jpg?alt=media&token=69ba2bab-19db-48ef-bb01-837ad7d7b883","2023-02-02 14:43:02","Sano, vigoroso","2023-02-02T18:43:02.000Z"
"wm592","Chacatea",-17.413229722825317,"vLxdZaSEAWmq3aroPr7F","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.0352037474513,"[]","XqEULkhUSnYeKm1FBoLH",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144336_3681192191677946858.jpg?alt=media&token=448516e5-54c3-46b4-99a3-4eb79259a134","2023-02-02 14:44:37","Sano, vigoroso","2023-02-02T18:44:37.000Z"
"wm593","Sauce criollo",-17.413228443181954,"eWqs5oWkZXeL4qvzbGJf","Corredor biológico urbano","Salix humboldtiana","vivo",-66.03516418486832,"[]","P6rVB1yHdXvfKgZr0St5",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144617_1510984437212402619.jpg?alt=media&token=da76a1e8-3055-4ac3-bb13-d8010e43467c","2023-02-02 14:46:48","Sano, vigoroso","2023-02-02T18:46:48.000Z"
"wm594","Chacatea",-17.413222044964943,"iWflaO6KcXm8OZ6cAdNS","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03513266891241,"[]","pOSRIMojb1WDNW48qc8E",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144724_7083612107607416981.jpg?alt=media&token=699f1382-e53d-480f-b585-2a6a9a6cc0dd","2023-02-02 14:48:14","Sano, vigoroso","2023-02-02T18:48:14.000Z"
"wm595","Tara",-17.41321436710424,"PoO1c2YUzp1ja2qgbnk5","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.035102494061,"[]","M7RbyBzbDsR0IiN8lEb2",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_144850_3058255757662300052.jpg?alt=media&token=0dcedfdb-d6b6-45e1-a0fd-5ca34f985a63","2023-02-02 14:49:43","Sano, vigoroso","2023-02-02T18:49:43.000Z"
"wm596","Jacarandá",-17.413206049421447,"xAbKErXOurqKkkDoKksQ","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.03506963700056,"[]","h6TY22aJvu0IxVljs0lK",0.35,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_145101_527522156091736994.jpg?alt=media&token=cb959eb7-3dff-42f3-9f52-67617e7d2dc9","2023-02-02 14:52:45","Sano, vigoroso","2023-02-02T18:52:45.000Z"
"wm597","Chacatea",-17.41319997111455,"vgEfzOF2QpupmoOyaTmB","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03504046797752,"[]","37qZcZXUrbuhm2Dh8HSg",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_145437_4804306417512754286.jpg?alt=media&token=eaa2a5a2-701a-420d-9d70-804443121e0b","2023-02-02 14:54:50","Sano, vigoroso","2023-02-02T18:54:50.000Z"
"wm600","Jacarandá",-17.41315870260451,"hpxtjdbQr2sITQEAjK6a","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.03485438972712,"[]","fmuw9bUkW5eKzhst2NmX",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_150421_7742324695942302374.jpg?alt=media&token=3e3f26d9-a3ee-461d-a1e4-11f4c3202e23","2023-02-02 15:05:05","Sano, vigoroso","2023-02-02T19:05:05.000Z"
"wm599","Limon",-17.413180776459885,"f4pILpdPcqScHBU0nQ1V","Corredor biológico urbano","Citrus x limon","vivo",-66.03496838361025,"[]","D9GO2SJU5hfae9pIAjTa",0.8,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_150637_7343311224177123089.jpg?alt=media&token=731a0f89-f246-44ba-9411-2174602d960d","2023-02-02 15:07:18","Sano, vigoroso","2023-02-02T19:07:18.000Z"
"wm598","Chillijchi",-17.413179496816163,"Nqs1kJ1mmptygy1TflWC","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.03496871888638,"[]","7vz8QdgCt8vaMXiU7r0i",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_150631_8834091806342799596.jpg?alt=media&token=9393e1c1-0278-42c8-8e3f-ab5d0d83d665","2023-02-02 15:07:22","Sano, vigoroso","2023-02-02T19:07:22.000Z"
"wm601","Sauce criollo",-17.41315198447409,"1MT7ea8QU1R8S3X8Kk5e","Corredor biológico urbano","Salix humboldtiana","vivo",-66.03482622653246,"[]","3vxvmicZJ3ZUNDp3akm0",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_150804_408444762034111974.jpg?alt=media&token=7d862a1c-ebde-4310-ad3b-f6aa6b8c7348","2023-02-02 15:09:05","Sano, vigoroso","2023-02-02T19:09:05.000Z"
"wm602","Tecoma",-17.413148465453293,"Tx2BxrhwkfAcH46R8vJr","Corredor biológico urbano","...","vivo",-66.03480912744999,"[]","ZeY9Rv8Iow9zqg6x0hKP",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_150833_5836494826593966860.jpg?alt=media&token=c1dc9985-7f29-46f7-8d46-648e45aee5c0","2023-02-02 15:09:42","Sano, vigoroso","2023-02-02T19:09:42.000Z"
"wm603","Algarrobo",-17.413134069458415,"txhmlVML81Qg8xolEfXW","Corredor biológico urbano","Prosopis alba Griseb.","vivo",-66.03475984185934,"[]","KlakPiy5y2e1PgQVBUc2",0.65,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151003_892583124190154634.jpg?alt=media&token=6ddf737a-d6d5-4b3b-8a43-c8faaf971b79","2023-02-02 15:10:44","Sano, vigoroso","2023-02-02T19:10:44.000Z"
"wm605","Chacatea",-17.413126711505036,"lcUE7H7wwneFEuH3sWlV","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03468641638756,"[]","um3TGoLgCL4TYVQxruWM",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151153_2743676866666553276.jpg?alt=media&token=b1d1e626-b7e9-4180-a37d-fe3fd27f8e26","2023-02-02 15:12:56","Sano, vigoroso","2023-02-02T19:12:56.000Z"
"wm606","Tara",-17.413119673462393,"TugoqxaUxS2Ry93L12x7","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.03464417159557,"[]","sbYGodjF57UtRboOeUnY",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151346_53300348222219802.jpg?alt=media&token=053536c5-3bed-4bb6-8f31-e8903447fb45","2023-02-02 15:14:22","Sano, vigoroso","2023-02-02T19:14:22.000Z"
"wm607","Chacatea",-17.41310943630899,"G9p3lNIBkxonicdffL7g","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03460695594549,"[]","Q5XviHEUDvuiyXFIGW57",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151503_4835998621103546064.jpg?alt=media&token=7a50e8de-f093-4eb6-a3a6-7003af9233dd","2023-02-02 15:15:40","Sano, vigoroso","2023-02-02T19:15:40.000Z"
"wm604","Chillijchi",-17.413110076131098,"npn6vfFTCOt0iufH2EsI","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.03469144552945,"[]","NhEPzHGsq9r2sFXTZL0X",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151627_3538030910725550892.jpg?alt=media&token=ad5e139d-582b-4012-94d7-bec40fd35743","2023-02-02 15:16:42","Sano, vigoroso","2023-02-02T19:16:42.000Z"
"wm608","Sauce criollo",-17.41310175844355,"GLu76lK9mFGB5dw5W15l","Corredor biológico urbano","Salix humboldtiana","vivo",-66.03456672281027,"[]","QbnoaUUDvDXJ4adUPj0Q",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230202_151636_4107311485286091796.jpg?alt=media&token=0eb9f34b-8173-4fda-9cc4-68f85fed8692","2023-02-02 15:17:06","Sano, vigoroso","2023-02-02T19:17:06.000Z"
