"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo"
"wm612","Chacatea",-17.413033617373696,"82PSoZRnS5XN5RbZYNua","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03439304977655,"[]","Ohn844Pmt6Fd7smYVFBw",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_095436_528347969817540967.jpg?alt=media&token=69d3bc8a-95cf-4909-b17b-45385f92cce1","2023-03-09 09:55:55","Sano, vigoroso","2023-03-09T13:55:55.000Z"
"wm613","Garrocha",-17.413023380215456,"4d1vKxxPTHtKlYup4qCC","Corredor biológico urbano","Tecoma fulva subsp. garrocha (Hieron.) J.R.I. Wood","vivo",-66.03437025099993,"[]","wc6VCcelqsOmqPBfErTH",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_100021_9110939716598276662.jpg?alt=media&token=64fa6936-8191-4d83-b9b1-5387c1df7f87","2023-03-09 10:01:52","Sano, vigoroso","2023-03-09T14:01:52.000Z"
"wm614","Limon",-17.413001946163565,"VYh6oUHEOCGuKSKZRDRm","Corredor biológico urbano","Citrus x limon","vivo",-66.0343249887228,"[]","zW37LiPLZMJIICQBFePI",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_100519_3477984064494094512.jpg?alt=media&token=215d89e9-79af-42d0-9158-5edf45df66b2","2023-03-09 10:06:47","Sano, vigoroso","2023-03-09T14:06:47.000Z"
"wm615","Chillijchi",-17.41303297755132,"N74ag748FPpQIGcIFbmh","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.03435214608908,"[]","AhBnBMnoXn6MCccEWyhn",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_100907_2836998285648335609.jpg?alt=media&token=f9fad9e8-4fee-45f5-9306-969453122b84","2023-03-09 10:09:47","Sano, vigoroso","2023-03-09T14:09:47.000Z"
"wm616","Chacatea",-17.412987230245864,"rpOpRzwgsVjHo8yaMe67","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03427402675152,"[]","oMU1aGu2ZeQstZy825k4",0.33,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_100928_2870352681171759377.jpg?alt=media&token=d05c1421-7d38-49cf-9012-53771fd89489","2023-03-09 10:10:07","Sano, vigoroso","2023-03-09T14:10:07.000Z"
"wm617","Jacarandá",-17.41299970678486,"SsZYBHSkPV0z7Z9yo4L7","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.0342750325799,"[]","tUPIpfzbsHnSXqqzCsBu",0.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_101203_6069351993668205865.jpg?alt=media&token=a13a7fb7-7bc0-4c5d-9c54-a03fb900e33f","2023-03-09 10:12:17","Sano, vigoroso","2023-03-09T14:12:17.000Z"
"wm618","Garrocha",-17.41297699308503,"S3E87dOTDPURPF5uZNpG","Corredor biológico urbano","Tecoma fulva subsp. garrocha (Hieron.) J.R.I. Wood","vivo",-66.03425223380327,"[]","cZCYeIrl2Y50npUpCSRO",0.34,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_101254_4726452767423470046.jpg?alt=media&token=23c56f56-dc40-44cf-9088-1376975ec197","2023-03-09 10:13:15","Sano, vigoroso","2023-03-09T14:13:15.000Z"
"wm619","Limon",-17.41296579618972,"235eSsweTspcGeKCDdsp","Corredor biológico urbano","Citrus x limon","vivo",-66.03420026600361,"[]","Q5nrrxhAuJC5cXaocLyf",0.68,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_101258_22007880334472083.jpg?alt=media&token=a5dd0396-ad86-4276-9a10-7cb939b76d93","2023-03-09 10:14:01","Sano, vigoroso","2023-03-09T14:14:01.000Z"
"wm620","Churqui",-17.412987230245864,"epKeqgvbR9koPqxz9WOq","Corredor biológico urbano","Vachellia caven","vivo",-66.03417009115219,"[]","Fha9pBKWg9UoVSmFQRBJ",0.1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_102223_8021373690519157658.jpg?alt=media&token=fa5fc43b-97c9-43a0-b3f9-a2bf38249c5b","2023-03-09 10:23:13","Sano, vigoroso","2023-03-09T14:23:13.000Z"
"wm621","Chacatea",-17.412936364347328,"W69PxwNKvQZ5FK00mpbT","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.03409465402365,"[]","pD1917D1g34k1YHG5I82",0.43,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230309_102224_8658884700420437365.jpg?alt=media&token=877426c2-83ec-4476-af75-da64abb127c7","2023-03-09 10:23:30","Sano, vigoroso","2023-03-09T14:23:30.000Z"
