"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo"
"Sequoia","Sequoia",-16.536170570613454,"II7JBaTtvMDnbt3Mn1Wh","jardín ","...","vivo",-68.04973885416985,"[]","nBOxPlnfxX1m9QlctPQI",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230502_182216_1711208660664774521.jpg?alt=media&token=daf60150-4a07-4100-a36b-9d29f523819f","2023-05-02 18:24:33","Sano, vigoroso","2023-05-02T22:24:33.000Z"
"cedro","Cedro",-17.371498989747494,"ItofcEpasp5hS2aFzep9","Parque","Cedrela lilloi C. DC. (Cedrela angustifolia Sessé & Moc. ex DC.).","vivo",-66.14455506205559,"[]","Dw0u2PRILGXEMZ8MZm1g",2.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230504_165025_7739202989772663912.jpg?alt=media&token=2e7fa76d-647a-410c-839f-a73c74480dce","2023-05-04 16:52:18","Sano, vigoroso","2023-05-04T20:52:18.000Z"
"wm1049","Lloque",-17.422441323241433,"B4HA1FpuszSMdH4yKykR","Acera","Kageneckia lanceolata Ruiz & Pav.","vivo",-66.01780023425817,"[]","i62oU4nqJCVkaZ5eHO8i",0.65,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_153336_6559657295403262844.jpg?alt=media&token=3e2cf88b-2c02-4ab2-8cab-05a90c7647ad","2023-05-11 15:37:00","Sano, vigoroso","2023-05-11T19:37:00.000Z"
"wm1050","Garrocha",-17.422415411768316,"XOAM43yXEU7N53dR9EBK","Acera","Tecoma fulva subsp. garrocha (Hieron.) J.R.I. Wood","vivo",-66.01783476769924,"[]","2n5b88h94sSIwBhmhcE4",0.9,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_160056_6911341701866126680.jpg?alt=media&token=f5153d82-f33c-4e76-bfa6-2ac95d3d22a5","2023-05-11 16:02:45","Sano, vigoroso","2023-05-11T20:02:45.000Z"
"wm1051","Limon",-17.422390140081127,"m9RstLkunv2MniGBVh18","Acera","Citrus x limon","vivo",-66.01785723119974,"[]","7aBqqb54ZPyoNvbOwNk9",0.24,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_160619_453873730005078612.jpg?alt=media&token=2244992a-0cd4-43ea-98f6-90c79f6bca43","2023-05-11 16:10:17","plagas","2023-05-11T20:10:17.000Z"
"wm1052","Guayaba",-17.422351432806618,"hsQne7iyZ2UtC8nFuU8U","Acera","Psidium guajava","vivo",-66.01789109408855,"[]","JK4Q1KvsKL3l79qxHHMf",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_161052_510987490121038817.jpg?alt=media&token=b62eebdc-8ef0-4007-a2b5-319d5a000b17","2023-05-11 16:20:53","insecto","2023-05-11T20:20:53.000Z"
"wm2053","Tajibo rosado",-17.422339276801356,"fl8X5VVmj4MMkDGv7hQo","Acera","Handroanthus (Tabebuia) impetiginosus (Mart. ex DC.) Mattos.","vivo",-66.01792629808187,"[]","NfjM89y5aTr5gFMakReZ",0.38,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_162115_5294332594420893502.jpg?alt=media&token=ca2572e3-0081-481e-a70d-ea61a4b0e862","2023-05-11 16:24:47","ecceso de frio o sol","2023-05-11T20:24:47.000Z"
"wm1054","Tara",-17.422311765839098,"bAITVdacz6um1nednhod","Acera","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.01794809103012,"[]","NSulpQelcODUUWayCmYj",0.66,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_162905_4567455065968985329.jpg?alt=media&token=3a8545d0-02bd-438e-a532-e69037940eef","2023-05-11 16:31:15","Sano, vigoroso","2023-05-11T20:31:15.000Z"
"wm1055","Jarca",-17.4223341584831,"55M9kClFYJEFTsplKZCs","Acera","Senegalia (Acacia) visco (Lorentz ex Griseb.) Seigler & Ebinger","vivo",-66.01778984069824,"[]","Hnj06zUJAadlCGTyI1J9",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_163004_9206396225143089214.jpg?alt=media&token=be7724fa-7247-48bc-95b6-cc027979f922","2023-05-11 16:31:26","Sano, vigoroso","2023-05-11T20:31:26.000Z"
"wm1056","Nispero",-17.422290332877253,"MUyDD4vRzVmuij7BasZ2","Acera","Eriobotrya japónica (Thunb) Lindl.","vivo",-66.01799234747887,"[]","dRVl7EziT1TqU8nB5CPn",0.85,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230511_163300_4655487366079210928.jpg?alt=media&token=60d2ae67-e633-4542-bcf3-fd6bba05f096","2023-05-11 16:34:06","Sano, vigoroso","2023-05-11T20:34:06.000Z"
