"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores"
"Peque","Molle",-17.362605783122113,"mF7aV6UiPEpzfuyWNvR2","Acera","Schinus molle","vivo",-66.22098460793495,"[{""id"":""TcMrOBf6pu9t2AStdsdy"",""timestamp"":{""seconds"":1642208451,""nanoseconds"":833000000}},{""id"":""vxDTcfPFGbDaNH544eOm"",""timestamp"":{""seconds"":1668344880,""nanoseconds"":598000000}}]","ejQkkoeWtiicAljDesqI",2.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220114_210359_155972.jpg?alt=media&token=6be1310d-92a1-4426-ad92-f56f90a95712","2022-01-14 21:00:51","Sano, vigoroso"
"Beautifull","Rosa de China ",-17.571733165209405,"149ok4Csy3I2qvY46iy5","Acera","Hibiscus rosa-sinensis","vivo",-65.98599795252085,"[{""id"":""IF9gFtRYljcuBSihazRF"",""timestamp"":{""seconds"":1643064759,""nanoseconds"":171000000}},{""id"":""0Nog989r2bcyTmafwktx"",""timestamp"":{""seconds"":1643064782,""nanoseconds"":902000000}},{""id"":""3zdcPFXn02NMgQyV93sq"",""timestamp"":{""seconds"":1643856902,""nanoseconds"":733000000}},{""id"":""rI1UiDJqYKrP5nuQvsoQ"",""timestamp"":{""seconds"":1668344734,""nanoseconds"":860000000}}]","gzBQkBuldtnjA6fK5ZKT",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220124_185151_26234.jpg?alt=media&token=6fb6d784-f086-457f-8c3d-d93f260ac22a","2022-01-24 18:52:39","Sano, vigoroso"
"H1","Gomero",-17.39080675617739,"VP0SaStd1D6HHTUNdUAx","Acera","Ficus elastica","vivo",-66.14899378269911,"[{""id"":""0JOLyuNWnHeu4RroWOFI"",""timestamp"":{""seconds"":1645093958,""nanoseconds"":709000000}},{""id"":""jnbdXhJslDG6q8H8frq9"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":592000000}}]","Fbl2k9Aa1ZrGGlNnKNtO",20,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220217_063146_%2Fstorage%2Femulated%2F0%2FDCIM%2FCamera%2FIMG_20220215_151829.jpg.jpg?alt=media&token=1ba25402-9d58-45cd-8098-980e883bfe15","2022-02-17 06:32:38","Sano, vigoroso"
"Mutis","Molle",-17.347679124829224,"VaEeQ2bRs2av4uGrhX3j","Acera","Schinus molle","vivo",-66.19249284267426,"[{""id"":""66uTuTd8xq1IDGnKKzyY"",""timestamp"":{""seconds"":1649430051,""nanoseconds"":961000000}},{""id"":""3Gx0Pwxirz9djAGtWusn"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":181000000}}]","xLfRfAz9r8tEUp3i2143",9,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220408_105840_8448417256976528950.jpg?alt=media&token=0f1cc755-70ca-4c1a-aca0-2c5ba031038d","2022-04-08 11:00:51","Sano, vigoroso"
"Árbol de manzana ","Manzana",-17.354203047077302,"z328G2H1I8lH6ts3cFbK","Área verde","arbol","vivo",-66.18192225694656,"[{""id"":""JCXjRJ2X3fZTgD8dC9zW"",""timestamp"":{""seconds"":1650492728,""nanoseconds"":810000000}}]","HqCjs4dtTmcP6KAwu2QI",2.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220420_180948_4589663075958810670.jpg?alt=media&token=0e3f9ca5-e8a8-40c7-94e0-be207b4af1c8","2022-04-20 18:12:08","Sano, vigoroso"
"Árbol de Limon","limoneros ",-17.35419824686665,"OA7wyg3tK757VEoljZuy","dentro de vivienda","Arbol","vivo",-66.18188470602036,"[{""id"":""LrZVdGRMJXc0QpDfHHt4"",""timestamp"":{""seconds"":1650492840,""nanoseconds"":485000000}}]","lcHEgSqKSdEU4GgjSU13",2.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220420_181244_7704109336944235479.jpg?alt=media&token=195b6d8b-0d28-4305-88ca-a36d51ac2a51","2022-04-20 18:14:00","Sano, vigoroso"
"Árbol de forma","forma",-17.35421776772249,"3gYhlebzpjAInq8rBLnR","Acera","ficus benjamína","vivo",-66.18183206766844,"[{""id"":""pN2gly0IGC0TyIWP14LP"",""timestamp"":{""seconds"":1650493029,""nanoseconds"":826000000}}]","qp1hLD2wekLpcWVEUHs8",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220420_181408_6375814584376748729.jpg?alt=media&token=7add1ba7-3bc4-43c7-9798-ca769db09073","2022-04-20 18:17:09","descuidado ,falta de agua"
"Gomero","Gomero ",-17.37028400709441,"AaRUK6HFVCS0LqhOipiz","Acera","Gomero ","vivo",-66.16354711353779,"[{""id"":""xiFMQOKdFwDdQV3tcXyF"",""timestamp"":{""seconds"":1650804995,""nanoseconds"":801000000}},{""id"":""3jVkmT1dYB7u0sUS2kV5"",""timestamp"":{""seconds"":1668344736,""nanoseconds"":686000000}},{""id"":""w6FQzCSgcMATeDO4MWyA"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":277000000}}]","vc3n9TtqP5PBfYp92vN1",30,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220424_085500_7006486377052905194.jpg?alt=media&token=137438c6-2e39-48b7-a1ca-6511db6bedb0","2022-04-24 08:56:35","Sano, vigoroso"
"Manzano ","Manzano ",-17.371089409980147,"tBCncKQSzzCRDpE9hp8x","Área verde","Manzano ","vivo",-66.16351258009674,"[{""id"":""Wk3V8imZzH6XBVsa9WOh"",""timestamp"":{""seconds"":1650806107,""nanoseconds"":561000000}}]","jyktCmKdz4mbL64myPtC",10,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220424_091351_3613591439513863548.jpg?alt=media&token=49b4918c-67a6-408c-a363-a99174ee9781","2022-04-24 09:15:07","Sano, vigoroso"
"Chirimoya ","Chirimoya ",-17.371077890535943,"S1GluzXWPLyXI11EmRwf","Área verde","Chirimoya ","vivo",-66.16356488317251,"[{""id"":""detBOjTFEwH7nT5T1bhX"",""timestamp"":{""seconds"":1650808232,""nanoseconds"":355000000}}]","Xn9ZgCB3KbXdYODtTbbS",7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220424_094938_2505724337515295996.jpg?alt=media&token=f8af07ba-cd8b-4ac9-9af8-5e4fb39e4dfd","2022-04-24 09:50:32","Sano, vigoroso"
